Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
187,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Police Department,
188,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Agree,Agree,Communications and Technology Management,
189,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,No,No,Disagree,Strongly Disagree,Agree,Agree,Austin Water,Yes
190,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,3 months to 6 months ago,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,No,No,Agree,Disagree,Disagree,Agree,Austin Resource Recovery,Yes
191,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Not Important At All,Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Neither Important Nor Unimportant,Of Little Importance,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Agree,Agree,Austin Resource Recovery,Yes
192,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Unlikely,Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Transportation and Public Works,I am not aware of any retention programs offered by my department.
193,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,Yes,Agree,Agree,Agree,Agree,Austin Resource Recovery,I am not aware of any retention programs offered by my department.
194,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Agree,Agree,Watershed Protection,I am not eligible for my department's retention program.
195,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Yes,Yes,Agree,Agree,Agree,Agree,Austin Water,Yes
196,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Austin Resource Recovery,I am not aware of any retention programs offered by my department.
197,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Disagree,Neutral,Neutral,Neutral,Austin/Travis County Emergency Medical Services,
198,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Not Important At All,Unlikely,Extremely unlikely,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Not Important At All,I am unaware of any training or development opportunities offered by my department.,No,Strongly Agree,Strongly Disagree,Disagree,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
199,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Unlikely,Extremely Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Communications and Technology Management,
200,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Neither Important Nor Unimportant,No,No,Agree,Disagree,Neutral,Agree,Watershed Protection,I am not aware of any retention programs offered by my department.
201,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,No,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fleet Mobility Services,No
202,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,Yes,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Austin Energy,I am not aware of any retention programs offered by my department.
203,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,Over 6 months ago,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Yes,Yes,Neutral,Neutral,Strongly Agree,Neutral,Watershed Protection,No
204,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Neither Important Nor Unimportant,No,No,Neutral,Agree,Agree,Strongly Agree,Parks and Recreation,
205,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Unlikely,3 months to 6 months ago,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Not Important At All,No,No,Neutral,Neutral,Disagree,Neutral,Financial Services Department,
206,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,No,I am unaware of any training or development opportunities offered the City.,Disagree,Strongly Agree,Neutral,Disagree,Austin Public Health,I am not aware of any retention programs offered by my department.
207,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,Yes,Strongly Agree,Agree,Neutral,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
208,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Neutral,Neutral,Neutral,Agree,Transportation and Public Works,Yes
209,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Unlikely,3 months to 6 months ago,Neither Important Nor Unimportant,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,No,No,Agree,Agree,Strongly Disagree,Agree,Financial Services Department,
210,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Not Important At All,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,No,No,Neutral,Agree,Strongly Disagree,Strongly Disagree,Police Department,
211,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Yes,Yes,Agree,Agree,Agree,Agree,Austin Energy,Yes
212,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Extremely unlikely,Extremely unlikely,Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Financial Services Department,
213,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
214,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,Yes,Agree,Neutral,Agree,Agree,Parks and Recreation,
215,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Disagree,Disagree,Agree,I Prefer Not to Disclose,
216,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,No,No,Neutral,Agree,Strongly Disagree,Strongly Disagree,Police Department,
217,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Disagree,Disagree,Disagree,Austin Water,Yes
218,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Communications and Technology Management,
219,6 to 10 years,"Yes, I have transferred between City departments.",Of Little Importance,Not Important At All,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Not Important At All,Likely,Extremely unlikely,Extremely unlikely,Over 6 months ago,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Of Little Importance,Very Important,Of Little Importance,Of Little Importance,No,No,Agree,Agree,Agree,Disagree,Parks and Recreation,
220,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,No,No,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,I am not aware of any retention programs offered by my department.
221,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Not Important At All,Very Important,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Of Little Importance,Absolutely Essential,Very Important,Yes,No,Agree,Agree,Agree,Agree,Development Services Department,No
222,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,No,Yes,Agree,Disagree,Disagree,Strongly Disagree,I Prefer Not to Disclose,
223,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Very Important,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,No,No,Strongly Disagree,Agree,Agree,Agree,Parks and Recreation,
224,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Of Little Importance,Yes,Yes,Neutral,Disagree,Neutral,Neutral,Police Department,
225,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Neutral,Neutral,Within the past 3 months,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Financial Services Department,
226,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Neutral,Within the past 3 months,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Very Important,No,No,Neutral,Disagree,Disagree,Agree,Office of Police Oversight,
227,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,I am unaware of any training or development opportunities offered by my department.,Yes,Disagree,Disagree,Strongly Disagree,Neutral,I Prefer Not to Disclose,
228,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,I am unaware of any training or development opportunities offered the City.,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Police Department,
229,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Strongly Agree,Strongly Agree,Neutral,Municipal Court,No
230,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neutral,Unlikely,Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Neutral,Disagree,Neutral,Agree,Capital Delivery Services,
231,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,No,Disagree,Disagree,Neutral,Agree,Police Department,
232,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fire Department,
233,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Extremely unlikely,Extremely Likely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,No,No,Agree,Agree,Agree,Agree,Fleet Mobility Services,No
234,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Human Resources,
235,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Disagree,Neutral,Strongly Agree,Austin Animal Center,
236,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,Within the past 3 months,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,No,No,Agree,Disagree,Agree,Agree,I Prefer Not to Disclose,
237,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Neutral,Within the past 3 months,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Neutral,Neutral,Strongly Agree,I Prefer Not to Disclose,
238,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Neutral,Agree,Agree,Austin/Travis County Emergency Medical Services,
239,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
240,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,3 months to 6 months ago,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Neutral,Neutral,Disagree,I Prefer Not to Disclose,
241,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning Department,
242,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Likely,Neutral,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Disagree,Agree,Agree,Agree,Capital Delivery Services,
243,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin/Travis County Emergency Medical Services,
244,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Agree,Neutral,Fire Department,
245,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Housing Department,
246,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Neutral,Agree,Strongly Agree,Development Services Department,Yes
247,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fire Department,
248,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Agree,Agree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
249,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Not Important At All,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,No,No,Strongly Disagree,Strongly Disagree,Disagree,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
250,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Unlikely,Unlikely,Unlikely,Within the past 3 months,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Disagree,Neutral,Neutral,Neutral,Development Services Department,I am not aware of any retention programs offered by my department.
